Hour,Score
4,2.3312283677714722
3,2.664920776108621
2,4.862752853026376
5,6.307921203196328
1,9.732380449634373
0,28.703651573633028
6,39.08493622016315
23,84.16894271202895
7,92.02064482898363
16,118.46252817550736
8,125.51894073409228
10,136.33239766468546
15,137.2549922819687
13,139.32574731374928
9,140.1650706687793
11,140.41717276355604
12,141.04079602990132
14,162.70733107140305
17,167.57751080973455
22,168.80520784536262
20,222.46357042524332
21,222.61289594217155
19,252.3540774844585
18,257.6930668942544
------------------------------
4,1.703421938379314
3,2.1713758435534762
2,4.8098433868023935
5,5.7457024817798095
1,11.449363504656928
0,34.23882231925886
6,43.12269674773549
7,101.73868887494932
16,114.16456673623946
23,131.75830802341497
8,148.83540824528976
10,151.27432676888102
11,154.36864580519665
15,154.58325849132646
13,161.32598276177512
9,162.35721819832838
12,166.40830317542822
17,168.7580711618987
14,188.6794876531143
22,241.6305500561489
18,263.54627583122584
19,289.5403273765062
20,290.2211139434506
21,303.58779822975276
------------------------------
4,2.175807036210387
3,2.7778504309799987
5,6.414458619706382
2,6.5748556700308525
1,16.122490689832492
6,45.93418486442661
0,49.86419735258391
16,106.03357977161545
7,107.4693079395329
17,151.61371132328165
23,152.9483792632732
10,154.76760748067034
8,155.63899213817578
15,156.81262996138358
11,163.9236589332256
9,167.3459135230237
12,173.1751778351297
13,175.86653366281953
14,198.4546340211483
18,255.75196789610519
22,261.87986698717066
19,302.69523044251326
20,304.72057395658965
21,318.48955969419404
------------------------------
4,3.5250943154310703
3,4.598826912301854
5,7.59629285886024
2,10.361027093936176
1,25.269589993584557
6,48.737660390597476
0,73.27866481939466
16,108.89561751734676
7,111.37799244614519
17,158.62670593221102
8,159.90291392202846
10,160.9783496939369
9,170.22196113935615
15,174.11330598336232
11,176.60475188311318
13,195.29198057360747
12,195.97916158852072
23,205.00469975520355
14,225.06366425658612
18,254.62309322837808
22,281.0339725026322
19,307.90663665746445
20,312.1017671529973
21,316.13721905183945
------------------------------
4,6.130303691936961
5,9.010142075938475
3,12.93500494464894
2,25.860177200796464
6,47.6733738425902
1,49.30744845019636
7,94.65620632709998
16,105.98125401737099
0,117.08162761694078
8,134.46712538287267
15,152.3734765529897
10,153.7988536086042
9,153.9334337496127
17,162.34827449998676
13,170.84874560770754
11,175.05518204478955
12,185.34910251667344
14,197.76309616691992
23,205.24197029632134
21,228.10002007244066
22,231.5975089458667
20,236.6837064979735
18,250.5785948026132
19,282.63884568528414
------------------------------
5,4.871984257992085
6,7.613001599546077
7,11.338455612951071
4,20.531022883442542
8,24.69552889639536
9,51.45058775670447
3,54.90057291484137
10,84.98732163844963
2,86.58542060626881
16,109.68298993318987
1,116.69564058472157
11,127.69550207367556
17,139.21996616642792
15,141.1860009932395
14,142.66004020529172
12,145.88860761633097
13,147.91063075533876
20,156.54368377187143
21,158.96606840231757
0,169.10294161607138
23,183.52052021062784
18,189.08800722427327
22,193.12070396544823
19,199.09604261501323
------------------------------
6,4.892179510459162
5,5.104115864513782
7,7.851396646873103
8,17.017697692693492
4,25.705919498125812
9,36.452087970369135
23,66.28525632852978
3,70.20864058177348
2,88.38848892606477
10,100.61214885115093
11,106.23120758892195
22,108.41507751085243
16,118.10510365482254
21,122.97833110726071
1,125.03792869211651
20,125.36415084551213
12,125.9177602420875
17,130.91060165941107
15,132.11112555788225
19,136.1605382412747
14,142.29560256751512
0,154.80180471650283
13,157.24614919394045
18,189.10335192207552
------------------------------
